clean_text,final_label,source_langue,pays
machalah aalik haifa dima mnawra,positive,latin,maroc
ka ntkhylo rajea f retour o hya galssa hdah o taleq liha sadma kbira,neutral,latin,maroc
حزب التراكتور الخمر والحشيش حزب الإتحاد الإشتراكي تحريف القرأن الكريمحزب الإستقلال القمع والإستحمار والإستبغال فمادة تختار اخي الامي,negative,arabe,maroc
المتحدثة باسم الحكومة الإسبانية مدريد باغية تستأنف العلاقات البوليساريو,neutral,arabe,maroc
السعودية الغبية تاكل الطعم قريبا هه,negative,arabe,maroc
استنفار أمني فالحسيمة بعدما لقاو جثة شخص ميت وسط دارو,neutral,arabe,maroc
إسبانيا كشفات حقيقة فتح المعابر الحدودية نهار الجاي وهاشنو قررات وزارة الداخلية ديالهم,neutral,arabe,maroc
عياو مايحاولو يخبيو الكارثة الحكومة اللبنانية الدولة والبنك المركزي دارو فاييت,neutral,arabe,maroc
casablanca ain diab corniche,neutral,latin,maroc
موصيبة شخص قتل خوه بجنوية فوجدة ولابيجي طيحاتو,neutral,arabe,maroc
البراءة لمستشار جماعي معروف فالشمال تابعو قاضي التحقيق ففاس بالاستفادة مشروع مكلف بإدارتو,neutral,arabe,maroc
chokran lidaamikom hanane ahla khabar,positive,latin,maroc
bghit naraf rir min nti mkrahtch nkaml maak rani mazal khadam akhti merci bazzaff,positive,latin,maroc
سلام تتكلمون دكتور صيدلي تتاسفون للارباح احد يفكر مساعد صيدلي لايوجد عنده حقوق ولاكن الله يمهل يهمل,negative,arabe,maroc
المغرب قادرة التاهل للدور الثاني بكاس العالم بوصوفا اداء عالمي وتمتلك لاعبين اعلى مستوى عاش المغرب,positive,arabe,maroc
شكرا احبتي لحضوركم أنار صفحتي,positive,arabe,maroc
salaallak yalmosskha bl imara malqitou aiha matqolobditpou flkdoob o photo shoop,neutral,latin,maroc
تلرليون مبروك,positive,arabe,maroc
راه تشابه ليك بنكيران الملك ولدي هدوك مشاريع انجزهم الملك,negative,arabe,maroc
li mjwin rahom nassoo wla khdamin bqaw ghir zwafrya,negative,latin,maroc
هدا يدل ان الجزاءر تموت حقدا المغرب سمهم بارك فيهم,negative,arabe,maroc
نسبة زراعة الخضرة ديال الربيع المسقية وصلات لـ فالمية البرنامج المحدد وزارة الفلاحة,neutral,arabe,maroc
chd bus yhtk f a mars w ched taxi byd mn salonique,neutral,latin,maroc
habibti ya om lhakar ntoma makatayawch lmohim kahlikom tqolo had lklam hada kaybayn awalan anakom mahroqin man hanouna,negative,latin,maroc
تصبحون رئيس حكومة ديال بصح ماشي دبلعاني ـ مايسة,negative,arabe,maroc
تحقيقات الفرقة الوطنية فقضية مافيا العقار فولاد الطيب فضحات كلشي رجال سلطة وأعوانهم وحتى نواب الأراضي السلالية كانو عارفين التخلويض اللي نايض وها كيفاش رئيس الجماعة كيتوسط فعمليات إبرام عقود البيع والتنازل,neutral,arabe,maroc
عاشت اسرائيل الدولة الديمقراطية وعاشت الانسانية بقاع العالم والموت لكل عربوشي خائن,positive,arabe,maroc
انتي حبيبه الكل يااجوجو,positive,arabe,maroc
شكرا الأستاذ المحترم المعلومات القيمة ونتمنى التوفيق والقتألق مجال اختصاصه,positive,arabe,maroc
ana nachita bzaaf f facebook o galt alash mantharaksh f twitter ana kanchar bzaaf laakbar dyal betty o tasamim,neutral,latin,maroc
hh sahoma hadii mrida rah kant yalah aayrtha madich alihaa,negative,latin,maroc
السي بنكيران واش كتمثل الشعب ؟,negative,arabe,maroc
ana f khedmaa kayn chi lien fach ntfareej,neutral,latin,maroc
شاء الله وية ثانية لستاذ بنكيران،إنشاء الله الصحف قنوات المراحيض مزبلة التاريخ,positive,arabe,maroc
عليكم ياعرب آلى الحد الانانية غسلو ادمغتكم سرقوا اموالكم تربية جيل حاقد المغرب وبدلو افكاركم وجوعوكم بخيراتكم وهتكوا اعراضكم,negative,arabe,maroc
وفي النهايه اهلو بتحسروا,negative,arabe,maroc
أحبك امرأة,positive,arabe,maroc
الله ارحمنا تعطل سقوط الامطارىسيجلب الكثير الغلاءاللهم اسقي عبادك وبهيمتك,negative,arabe,maroc
zola petit wtf wonntee,neutral,latin,maroc
مزبلة إيطالية,negative,arabe,maroc
جديد عودة العلاقات المغرب واسبانيا ديوانة لاول مرة فباب سبتة واتفاق ترسيم الحدود البحرية حدا كناريا والصبليون شادين فدرابو بلادهم المقلوب فالفطور,neutral,arabe,maroc
hanane hna kanbghiwk nti waihab wrakom mchrfin lmghrib matkhafich lmgharba kolhom kayswto alik,positive,latin,maroc
نقابة ال للحكومة كنرفضو مقاربتكم فإصلاح أنظمة التقاعد وبغينا الزيادة فصاليرات وتعويضات الموظفين والخدامة وفلاروتريت للمتقاعدين,neutral,arabe,maroc
مبروك معرفتش لاش مغاربة كيهرسو ويطيحو بقيمة ولاد بلادهم ويعطو قيمة للبراني,positive,arabe,maroc
gha lah yhadr salam w safi khayf mn chi hawya,negative,latin,maroc
بحارة فباركو ديال الصيد عتقو حراكَ الموت فسواحل طانطان تصاور,neutral,arabe,maroc
بنكيران داير ليكم الحرقة بكترت ماجميع الأحزاب كاتهاجمو الناس تعاطفت معاه,positive,arabe,maroc
تتقدم اوروبا الا ادخال شيوخ الكنيسة سوق راسهم، وابعادهم السياسة,positive,arabe,maroc
akid zwina bazaff hadchi ki dal ala najah dyalha wsolha nisbat lmouchada kbira,positive,latin,maroc
ماجبدوش ملف الصحرا اجتماع وزير خاجية نظام العسكر نظيرو الروسي فموسكو,neutral,arabe,maroc
الله يجازي المحسنين,positive,arabe,maroc
non kayn ghir kantl mn baid mm ull miss it anyway mra khra ana kayn nmchi usher nahda khayba,neutral,latin,maroc
sadaqa aallah jabti lia bakya sinon doc adoré physique,neutral,latin,maroc
خاص ديور تبنات فـولاد الطيب بشكل عشوائي لـ وخداو مواليها تراخيص الضو مقابل رشاوي وها كيفاش تحايل رئيس مجلس عمالة فاس القانون فهاد لافير,neutral,arabe,maroc
slt fati goli hanane tkoune kwiya tnssa albka trakez meziane labrate twssal lfinale w tkhdem meziane compétition très serré,neutral,latin,maroc
حقيقة العرب ، نتأسف كنت منحدرا الجزيرة العربية ،,negative,arabe,maroc
تالوين الغالية,positive,arabe,maroc
a narii ala shetana wakha alik,negative,latin,maroc
يطالب المغاربة بمحاسبة الشفارة المسؤولين,positive,arabe,maroc
الحمد لله الأمطار رحمة غاتنفع الفقير الغني,positive,arabe,maroc
المغرب واعر بزااف,positive,arabe,maroc
خارجو رجعو سبتة مليلية الي فبلادكم عجيب ضامنو زاكورة الريف مريكان راهي الراعي الأول للعالم,negative,arabe,maroc
الله يعوضك خير ان شاء الله,positive,arabe,maroc
aandha aard tamtill w raaha tekra fihh w moqadima maghribiya w hafla f chahr gh,neutral,latin,maroc
ana w mina ana w mina awawawawaaw,neutral,latin,maroc
عار عار,negative,arabe,maroc
merci bazafe anis ala kalamek wallah akdte lchaab lmaghribi akhlaqek raqya nhabouk,positive,latin,maroc
nta maa ljind allatif allatif frappe gang gang,negative,latin,maroc
momkin tmshi lvideo qbl ijiw shab lhasanat mli ikhrjo maa ochokran lik akhti,neutral,latin,maroc
pff aayb walah lobanane rafa ala rssna man foq li kayayrhom makymtlach fans hanane,positive,latin,maroc
يااربي سلط علينا شي دولة نتمنى الحرب بكترت ضلم هاد البلاد,negative,arabe,maroc
احسن دولة العالم العربي الاسلامي المملكة العربية السعودية مكه وبمكةولد النبي محمد صلى الله وسلم,positive,arabe,maroc
hahaha wa rah tana jani hadchi ghrib,neutral,latin,maroc
لاعب كبير يحتاج الخدمة الجانب البنيوي,positive,arabe,maroc
ربنا يوفقك ياارب نجاح لنجاح الله يحميك ويحفظك بمووت فييك سعد ممكن لايك مرة واحدة فضلك,positive,arabe,maroc
هدى كريملي أستاذة الاجتماع لـكَود العمل الجنسي عمل تجاري كبير متجذر فاقتصادات الدول وإلغاء تجريمو غيهني العاملين مخاطر كثيرة,neutral,arabe,maroc
plzz chkun li andu num dialaha rah tmashat liya,neutral,latin,maroc
الطالبي العلمي عدد الأسئلة اللي تصيفطات للحكومة فايت ومنها سؤال شفوي,neutral,arabe,maroc
اسبانيا البوليس شدو مغربي متهم بقتل مستشار اشتراكي وعمدة سابق لغرناطة,neutral,arabe,maroc
لتطوير الاستثمارات والمبادلات المغرب الجابون جوج اتفاقيات تجارية تسيناو فشهر دخلو دبا حيز التنفيذ,neutral,arabe,maroc
الصحراء عيون المغاربة والحوت والفوسفاط عيون المخزن وخدام الدولة يحمي عليهم,negative,arabe,maroc
choof bla matati laadar lrassk hqaa sakn bohdii rak gha katkhraa ila kan hada lmochkiil sahla hbet ltht oha lmochkil theel katghtii chemss blghrbaal db bynti bla loser dorigine fach bditi katati laadar lrassk,negative,latin,maroc
الله يوفق بنكيران إنشاء الله,positive,arabe,maroc
سمحي لينا الوليدة ، راه القدس الول,negative,arabe,maroc
bnadem aamro itbedel kol fanana maghribiya katkhrej saha katlqa intiqadat khossossan mn mgharba dyawlnaa aziz alihom naqd,negative,latin,maroc
أوقفوها واريحونا برامجها والضرائب ندفعها ظلما وعدونا رغما عنا,negative,arabe,maroc
ghir guetlih livraison houwa yedreb taam hh,negative,latin,maroc
حارب وطن وطنه وقتل أبرياء رحمة الله وإلى جهنم بءس المصير,negative,arabe,maroc
bghiit ghiir lqaha daba nqabehhaa walakin khssara o chhal mn wahda qatlik gaama nchejeaha kon araftha hadrat alikom,negative,latin,maroc
mafiha bassnchejao whdinkhrin lakn manqelboch ala ibtissam bhal lidao chi whdin ojayin mn foq iqololek fans ibtissam saadona,neutral,latin,maroc
maarftch man lawl kany mali nazlt kayn chi ghalat bant lihom ghir belgharam inazloha blghalat,neutral,latin,maroc
milan o inter f nafs waqt,neutral,latin,maroc
توصلتم بالإستدعاء طريق البريد ؟ يصلني شيء ان إسمي موجود لائحة ،،,positive,arabe,maroc
fumée indienne ila knti hakka premier taf rak lqiti chi black hole,neutral,latin,maroc
nty kayjawbk qoli lo yghni ghir alach ya ghzali ashal makayn o zouinaa,neutral,latin,maroc
dhkoni din mhom daba ana sakn f hay raqi hh,positive,latin,maroc
فالسيمانة اللخرة رمضان لجنة وزارية ثمن ماطيشة وصل لـ دراهم والفلفلة وها علاش الزيت الرومية طلع ثمنها لـ لليترو,neutral,arabe,maroc
chafti boussarwal lhmar farhan lmohim nasim lazim yarbah arafti machalah sohaila chhal walat zwina tbarkallah,positive,latin,maroc
rah flmghrib ghir bhalha likaydaamha ama aghlbyat lmgharba darbin aliha,neutral,latin,maroc
awiili bassah ibtissam aend tamer hosny wela ghir ichaa,neutral,latin,maroc
madlola hiya li maarfatch trabik khasak thcham ala klamk otchof chkon kan waqf maana had simana,negative,latin,maroc
had bent niyta kateghleb dayman mena barah youm hna kansemao akhbar mziwna,positive,latin,maroc
entybssawt ihab f prime,neutral,latin,maroc
أشاد يشيد نحتج نستنكر نغضب خط أحمر خط أزرق بركة أنزل ادير شي حاجة الشعب عيينا هاد الهضرة الخاوية,negative,arabe,maroc
hh rah men dak nhar sift liya chi a marrat kaysawal ala site hh,neutral,latin,maroc
المجلس الاقتصادي والاجتماعي لوزارة الثقافة خاص تعطى أهمية للتراث اللامادي تشجيع المقاولات التخصص فالمهن المرتبطة بالتراث,neutral,arabe,maroc
باطما,neutral,arabe,maroc
وزير الفلاحة الزراعات الربيعية المساحة المرتقبة بالمناطق البورية تبلغ هكتار,neutral,arabe,maroc
هاد القناة ناسها مكبوتين كيهدرو الجنس,negative,arabe,maroc
makayajbnich nkhsser floussi f ag hh kankhsserhom fl makla,neutral,latin,maroc
ana mabghitch ndouq bghit nakol onghamas hh,neutral,latin,maroc
ahsan blan rbeht mn had twitter howa berka peace lyom ana w zmeet w lfawda,neutral,latin,maroc
ana tanktab lih ghir hna ftwiter hint maandich insta lface dyalo maandich chnahowa,neutral,latin,maroc
chhal moudat alghyab aan almalaaib,neutral,latin,maroc
masai alghir ana fakhor bik bazafe marhabane bik ilabghiti jawbini,positive,latin,maroc
خلاصة القول النهاري قنبلة هيدروجينية تهدد المغرب وامنه واستقراره,negative,arabe,maroc
يريد الدفاع القدس يستطيع مقاطعة المنتجات الأمريكية انتظار قرار دولته,negative,arabe,maroc
تحياتي دكتور فائق الاحترام التقدير,positive,arabe,maroc
w ehna fans lmalika bassoum benmouut f doudouu w fanshaa,positive,latin,maroc
ban a ntta bghina cadeau walo,neutral,latin,maroc
إتلاف طن المواد الغذائية بيريمي مخالفة الأسعار والجودة مشات للمحاكم فهاد الفترة,neutral,arabe,maroc
ماتت قلوب الناسمن اجمل لاصوات سمعته حياتي احبكي لانكي تغنين بكل احساسكربي يديمه,positive,arabe,maroc
صحفي هاوي عنده ذماغ طفولي وسؤال يمث بالاحترافية الصحافية الرد قاسي هه,negative,arabe,maroc
b qoran o raya maghribiya maa ailm ana kan kiwajehhom khatar lespane likano mssalhin dak waqt,neutral,latin,maroc
الحمد لله نعمة الاسلام والمسلم يخاف الموت,positive,arabe,maroc
القوم مجتمعين أمان الله,neutral,arabe,maroc
حزب العدالة والتنمية لحد الان مكاين حتتى شي حزب منو انشاء الله ولاية ثانية بنكيران,positive,arabe,maroc
نريدك المنتخب المغربي فما لدينا يكفينا زيادة اخترت انتهى الأمر,negative,arabe,maroc
تجواعون الشعب وتمتصون دماه وتصدرونها للخارج,negative,arabe,maroc
لأنــنــا مـغاربة أحــرار ســنرفض تخــريبها,positive,arabe,maroc
أسي بنكيران,positive,arabe,maroc
ziin diro f lieu france talaoha andhom f trend,neutral,latin,maroc
مراقبة أسعار وجودة المواد الغذائية هاد رمضان رصد مخالفة مشات للقضاء وإتلاف طن المنتجات بيريمي,neutral,arabe,maroc
مواقف أطراف النزاع قرار الحكومة الإسبانية اللي دعمات مبادرة الحكم الذاتي فالصحرا المغربية,neutral,arabe,maroc
منورة العادة,positive,arabe,maroc
qaliha mabrouk lfinaale galt lih aarfa gal liha lahik ana zaalan,neutral,latin,maroc
أردنا القدس وفلسطين بد صلاح الدين آخر,negative,arabe,maroc
wayih aghaniha tayabro mzyan ala lhala dl wahed,positive,latin,maroc
daba nta wach dayr double écran wla chno,neutral,latin,maroc
الشعب واعي او عارف بن كيران رجل نزيه عكس اوغيرو الشلاهبية,positive,arabe,maroc
wach ghadin imchi ghir misr ah safi fhammt,neutral,latin,maroc
تبارك الله ماشاء الله,positive,arabe,maroc
اغنيتي مفضلة موجوع ڨلبي جد حبيتها ونتمنى مزيد انشالله موفقة,positive,arabe,maroc
لمهم قولوا تريدون المهم الفلاح واكل مسكين الشحط,negative,arabe,maroc
سلام المنبطحين,negative,arabe,maroc
زيارتو للمغرب رئيس الحكومة غايتلاقى بزعيم المعارضة اللي نتاقد التغييرات فالسياسة الخارجية لبلادو,neutral,arabe,maroc
فيان البحري مسيرة مسيرة أغنية وطنية رائعة احتفالا بالذكرى الـ للمسيرة الخضراء,positive,arabe,maroc
المغرب معندوش نخبة سياسية حقيقية,positive,arabe,maroc
duo ibtissam o two tone baad ramdan,neutral,latin,maroc
بريطانيا كندعمو جهود المبعوث الأممي دي ميستورا لاستئناف العملية السياسية فملف الصحرا,neutral,arabe,maroc
حتی الان لافهم اغلب الناس يلمون ترامب دولۃ الصهاينۃ القدس بيعت مصر ال سعود دولۃ الماسونيۃ الامارات سكوت العالم الاسلامي لهذا اقول كفی ثرثرۃ نندد نشجب وو قدمت للقدس حتی تغضبون النفاق النفاق,negative,arabe,maroc
hh waqila maktchofich nari ya khti tkadbi ala wahad howa baqi hayy,negative,latin,maroc
وخا تعياو تشوهو صورت بنكيران رجل المرحلة مناص فكرة مواصلة الاصلاح,positive,arabe,maroc
رئيس اوكرانيا استدعى سفيرتو فالمغرب كاينين اللي كيخدموش وباغيين يبقاو فبلايصهم,neutral,arabe,maroc
مبروك عالمي ربنا يباركلنا فيك,positive,arabe,maroc
kolna tayqin f qodorark a ihab baghin ktar,positive,latin,maroc
والله حرام عليكم كاتشوهووا فالمغرب مشوه,negative,arabe,maroc
man famok lsidi rabi walakin bayna ghadi ydiro tazwir o yarbho lmoharij bach ykamlo lfilm al ibahi maa lmadlola,neutral,latin,maroc
kanchkor gaa nass li aaydoni be aid miladi merci bzaff likom kanbrikom kamlin merci encore fois,positive,latin,maroc
هداك اندونيسي اما العربي فيستغل الاعاقة التسول,negative,arabe,maroc
الجمعية المغربية لحماية المال العام اعتقال البرلماني الفايق وخوه رئيس مجلس عمالة فاس قرار جريء خداه الوكيل العام,neutral,arabe,maroc
lkhamis awili rah hadik dayrinha ala moaasasat mohamed lkhamis,neutral,latin,maroc
hya rak tayh ala chi selaa mezian,positive,latin,maroc
kon ghir khlitou dortmund douz ntouma specialiste ghir f remontada hh,neutral,latin,maroc
شخص قتل مراتو فاشتوكة أيت باها نواحي أكَادير,neutral,arabe,maroc
يوم يوم احلا,positive,arabe,maroc
هه نتي ديما نجحا آلابغتي تولي حتي وزير فالمغرب فالبلاصه,positive,arabe,maroc
hh qseftini hh chwiya wana ntiqek hh ana bghit jojo,neutral,latin,maroc
أخ اسئلة كدسولو فخبارك مصور هذ فديو تريكتو خذاة الزريعة النصراني,negative,arabe,maroc
عاهرات المملكة المخربية السعوديةهه,negative,arabe,maroc
lach hta matsadaqnta li tstahel lmlayeen ijiw maak o tji maahomrbi yihfdak,positive,latin,maroc
مساءات الخير مره ومرات,positive,arabe,maroc
ak saudia flkhalij hahya weli liya fatett mzyan waaer flkhalijj,positive,latin,maroc
المغاربة شفتو عباس ديال فلسطين الكرسي اذل نفسه وشعبه قال قاتل شعبه رجل سلام يختلف العماري وشباط والسيسي,negative,arabe,maroc
lmohim mrhba bik sheriff hna lmkhzn,neutral,latin,maroc
ana msayba imilat o makan arafch nsawat,neutral,latin,maroc
بعدما سجل الاختلالات وزير الصحة مشا لمستشفى القرب بني مكادة بطنجة للمرة الثانية ولقا كولشي تقاد,neutral,arabe,maroc
bnadem tako f kolchi men lgaro aw,negative,latin,maroc
joyeux anniversaire chérie sokaa aoqba a ans w thaqi kol ahlamk inchallah,positive,latin,maroc
شفرة وسط مؤسسة تعليمية ففاس حركات لابيجي موالين الفعلة تشدو كلهم وتقدمو للنيابة العامة,neutral,arabe,maroc
رخصة السياقة بيزنس بالمغرب مند اغبر الغابرين وليس فقط الان,negative,arabe,maroc
الروح الرياضيه,positive,arabe,maroc
وكيف ان ننسى الفنانة الجميلة خديجة أطلس سهرتنا اليوم,positive,arabe,maroc
yassmin mhm wesalti li konti bagha tqoli ra ghir osloub khano,positive,latin,maroc
chi swimina dyal sber maaha o tweli mzn inshallah exo,neutral,latin,maroc
wech twitos mrigl andok had taghrida w zaqzaqat laasafir calma calma beckenbauer ana houwa li kigololih zamili ftaaliq maa did you say ghadi dir liya retweets omatswlnich alach andi twitter ana,neutral,latin,maroc
تا راها دازت بيضة,neutral,arabe,maroc
مهزلة هده الحكومة خاصها تحاسب عليها ويجب ان تتحمل هده الحكومة هدا الفشل حصيلة مدلك للشعب المغربي,negative,arabe,maroc
مبرووك مبرووك,positive,arabe,maroc
hh iwa allah yekemel bikhir matensaynach f aerss,positive,latin,maroc
مــهمـا كانت الظروف والله سـبحانـه رقيـب علـى صــدق نــيـتـي,positive,arabe,maroc
شفارة الضو قهرو الميزانية مدير علن فشلو فمحاربة الشفرة ردينا مليون تشفرات حالة اختلاس فـ سنين,neutral,arabe,maroc
hh wakha a lala wa mara mara rachiina bel jadid,positive,latin,maroc
hh bayna si yasin aajbah soso osotha ana sotha ka ijini bhal asma lmnawar sot magharibi,positive,latin,maroc
هده الدولة تدعمنا بدرهم واحنا اصحاب حق افنينا عمرنا الدراسة الاخير نشتغل,negative,arabe,maroc
شهيد منسق فرق المعارضة فمجلس النواب لـكَود اليوم حنا قدام اعتراف واضح الأغلبية الحكومية بللي تحملاتش مسؤوليتها السياسية فهاد الفترة وبغينا الرفع ريتم الأداء التشريعي,neutral,arabe,maroc
صورة رائعة مدينة شفشاون كيجاتكم؟,positive,arabe,maroc
كرامة الوطن اولا,negative,arabe,maroc
وفقكم الله مصلحة البلاد والعباد,positive,arabe,maroc
meskine ptipain dial mdiprimi nassel mskin blfaqsa,neutral,latin,maroc
كرهت سوفيان بوفال هاد النهار السيد والو منين تاتشوف رياض محرز وتشوف بوفال تايضرك راسك فرق كبير,negative,arabe,maroc
chouf lik had nissan aawtani,positive,latin,maroc
نايضة بيناتهم الجزائر منعات استيراد الحوالة الإسبانية تهديدها بمراجعة أسعار الغاز,neutral,arabe,maroc
فحتى المغرب يتشرف بلاعب متلك يشرف ان تحمل قميص الاسود,negative,arabe,maroc
نتي الملكه بجد,positive,arabe,maroc
كلهم اصحاب مصالح تهمهم القدس قريب بعيد,negative,arabe,maroc
الله يوفقكم اصلاح البلاد، الله يسر ليك الأمور وللصادقين معك,positive,arabe,maroc
أصبحنا نرى أشياء يتقبلها العقل تدل خير الفساد بشتى انواعه حسبنا الله ونعم الوكيل,negative,arabe,maroc
لماذا يتم إدخال هاد الأشخاص فالبرلمان المغربي ربما يكن وزير خارجية المغرب يوم ما،إبن المنطقة أدرى بشعابها،أصلاً البرلمان مملوء بناس يجيدون كتابة جملة مفيدةشخص راجع ويلات البوليزاريو،سيكون أكتر إقناع لبني جلدته,positive,arabe,maroc
جمعية مستوردي الطوموبيلات المبيعات نقصات فالمية فاللخر ديال شهر الفايت أرقام,neutral,arabe,maroc
انها قمة الغباء ، اراد ان يحتفل احد يمنعه، يرد ذالك احد سيجبره ذالك,negative,arabe,maroc
جنايات فاس دارت المسطرة الغيابية فحق رئيس جماعة الكوزات متهم مقاول بالشفرة وتبديد فلوس عمومية والتزوير,neutral,arabe,maroc
منيب برا عاوتاني البرلمان منعها تدخل بسبب الباس فاكسينال,neutral,arabe,maroc
هه بنكيران قتل الشعب بالزيادة والكدوب,negative,arabe,maroc
يبقى قرار العودة الى الوطن اصعب القرارات يجب ان يتخدها اه مهاجر قدره ان يبقى معلقا او مشتتا كالندى العشب,negative,arabe,maroc
فضيحة بناء الكلية المتعددة التخصصات فتازة تحكم ابتدائيا البراءة للمتهمين كلهم وعدم الاختصاص فالطلبات المدنية,neutral,arabe,maroc
chihed yseftli qanat rasmiya ntaa ibtissam f youtube,neutral,latin,maroc
saha aham min flos ok rah sahran hta sbah khaso ysafar kh saat dyal triq aad yarjaa kh saat,neutral,latin,maroc
تعلم الحكومة بدأت بنية محاربة الفساد وانتهت بمحاربة المييكا,negative,arabe,maroc
تقرير أمريكا باغية تعزز شراكتها فالتعاون الطاقي المغرب,neutral,arabe,maroc
اللهم تحرمنا المقام رب,positive,arabe,maroc
merci dounia dima katbarhni ala tamghribite dyalek w daamek lbenet bladek akbar dalil,positive,latin,maroc
معطيات جديدة اعتقالات عبثية لشباب فقهاوي فكازا عدد الشباب كيتصنتو ليهم وهاد الفيلم بالكاميرات دار فقهوة شارع انفا وقهاوي خراين تشدو فيهم بلا تصاور كاميرات,neutral,arabe,maroc
wjhek qasseh malqiti chkon taayrri ra sydeek hadaak a lqerda fnane aalaami o machi ay fnane goliha o chli biha fomok,negative,latin,maroc
شوف تيفي عودتنا الكدب وعناوين الجرائم والمثلين والدعارة هاهي ترجع لتفتري علينا الكدب,negative,arabe,maroc
فضيحة العماري الشعب المغربي كافر,negative,arabe,maroc
يصطاد المياه العكرة لأنه عديم الاصل والنسب ولربما والديه المرتزقة المارقين,negative,arabe,maroc
الحزب الدي يتحالف الشيطان حزب المخزن تففو اخخ العارضة؟دائما الحكومة هه الله اغبياء هاد المغاربة حشومة,negative,arabe,maroc
حولا ولاقوة الا بالله اشودي يغيت عندو الله اهديكوم اخوتي راها لكلاخ بزاف,negative,arabe,maroc
achkataarfo f chiar hh dak chi zwwin mohim howa sidq kalimat,positive,latin,maroc
نريدك رئيسة الحكومة,positive,arabe,maroc
لاراثون أحزاب إسبانية قدمات مبادرة ال كونكريسو لـ تصحيح موقف حكومة سانشيث الداعم للمقترح المغربي والعودة دعم تقرير المصير,neutral,arabe,maroc
hxoma alik tgoli ala rasak mghribya onadorya ghir xwahtina btakhalof dyalksiri twitter dyal haidi,neutral,latin,maroc
نجاح الى نجاح صوتك روعه ماشاء الله عليكى,positive,arabe,maroc
nlebso b nouba hh ana w nissrine qrab machi mochkil,neutral,latin,maroc
كبير جدا عليهم اسم صيادلة دكاترة المهنة أصحابها تغلب عليهم الانسانية للأسف عندنا بالمغرب أصبحت مهنتهم شبيهة بالجزارين,negative,arabe,maroc
hh safe mli ghatji ana anssed femmi,neutral,latin,maroc
chabakouni aldhmani chi wahd f chtouka,neutral,latin,maroc
بطانة طاحت بسباب كلب فسيدي رحال الشاطي نواحي برشيد,neutral,arabe,maroc
tarikt laahira chno kadiro hna katmoto ala khalijiyin w lobnaniyin siro diw hanan lrafa,neutral,latin,maroc
حينما تستمع لعبد الحليم او فريد او ام كلثوم او الدكالي تفهم سريعا تفاهة المعلم وبرانس والحمام,negative,arabe,maroc
فله شمعه منوره,positive,arabe,maroc
منظر رائع ولكين كين غلا والبشر ولي طماع فأي مكان المملكة,negative,arabe,maroc
ودي الكوميديا كيسرقو النويطات وسائل التواصل الاجتماعي,neutral,arabe,maroc
khti fatin momkin follow bghit nhder maak,neutral,latin,maroc
lyom salit my duties bkri nmchi nass yqrb ybda match,neutral,latin,maroc
walah hta mardouni bach ynakhlo bnadam ybloquiwh ydiwha ghir fhanan kifach naawnouha mqablin lbrahach,negative,latin,maroc
العار يبقى ملف الدكاترة العاملين قطاع التربية الوطنية عالقا دهاليز الحكومة ووزارة التربية الوطنية,negative,arabe,maroc
ana f tanger dyar kh dh ici,neutral,latin,maroc
اشنو دار هاد بنكيران,negative,arabe,maroc
نهج سليم وطريقة محبذة وترجع الثقة للمواطن,positive,arabe,maroc
zwina besah li qbelha hsen,positive,latin,maroc
رئيس حكومة جزر الكناري گاع الدواصا ديال الأزمة السابقة المغرب غادي يتجبدو طابلة المفاوضات,neutral,arabe,maroc
lawachr hadi li bghat lhassanat hadi hia loccasion avant ramadan,neutral,latin,maroc
بالنسبة فاش كنا حنا ولاد باب ايلان فمراكش تامشيو نلعبو الكورة فتيران الصابرة فحي حدانا سميتو الفخارة ان,neutral,arabe,maroc
بسباب فعايلو صيفطوه للبنيقة بحث قضائي تفتح بوليسي فخريبكَة فقضية توظيف وهمي,neutral,arabe,maroc
التامك لموظفي الحباسات بغيناكوم تعطيو صورة مزيانة القطاع وتحتارمو خصوصيتو الأمنية وتبعدو التصرفات اللي كتمس هاد الضوابط,neutral,arabe,maroc
كوبي كولي محدودين فكريا,negative,arabe,maroc
تعلم الرجولة والحرية والنضال والحكمة والتضحية,positive,arabe,maroc
dsl ms baghi lik ghi lkhir,positive,latin,maroc
انأ ضد المنطاج يستهين شعور الناس أولا ثانية حد ذاته يحول قضية إسلامية الى مجال لسخرية الفكاهة,negative,arabe,maroc
الاستراتيجية الوطنية للشمول المالي الوزيرة نادية فتاح العلوي وخا الأزمة الصحية قدرنا نديرو فالمية الإجراءات المخطط ليها فالمية قريب توجد,neutral,arabe,maroc
inchaalah ana mn jihti tayhemoni ghir wlad bladi ama tabaqi yaomo fbherhom,positive,latin,maroc
chi haqd ala shi w dnya haqda ala klshi jajaja,neutral,latin,maroc
بلينكن لوزير الأمن الاسرائيلي واشنطن ملتازمة بتعميق علاقات التطبيع وبناء علاقات جديدة,neutral,arabe,maroc
wakha tnechriha maaya daba f twitter ok,neutral,latin,maroc
دولة إسلامية ونعتز بإسلامنا وعروبتنا,positive,arabe,maroc
دة قمه الفساد يلا روح الفندق فى الرياض عمك محمد بن سلمان,negative,arabe,maroc
صاحبة المداخلة باللغة العربية الصرفة تبارك الله نيفو بزااف,positive,arabe,maroc
مسؤول حكومي غانديرو منصب شغل بتعويض الواردات بالمنتجات الوطنية,neutral,arabe,maroc
